trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
188,False,"{'a': 0.5, 'e': 0.14964140560361563}",25,7,23.444913690303693,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.14814499154757946}",25,15,18.028564275582443,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.14666354163210368}",25,16,17.632873844436,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14519690621578263}",20,7,22.21482023128821,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.1437449371536248}",20,11,19.559636629336588,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.14230748778208857}",20,11,14.636442474187884,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14088441290426768}",20,6,3.4515358203207134,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.139475568775225}",20,8,-17.628783587942156,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
196,False,"{'a': 0.5, 'e': 0.13808081308747275}",25,13,-18.44074921772868,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
197,False,"{'a': 0.5, 'e': 0.136700004956598}",20,14,14.740850482451085,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.13533300490703204}",20,4,9.119555821125669,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13397967485796172}",25,14,-12.914253646298945,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.1326398781093821}",25,2,34.320500271727695,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.13131347932828827}",35,26,14.925152038075106,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.1300003445350054}",20,12,15.297229990643338,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.12870034108965533}",20,12,11.703965207137388,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.1274133376787588}",20,10,19.572766217995415,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.12613920430197118}",25,19,11.175736432017104,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12487781225895148}",20,8,12.627920316012638,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.12362903413636196}",20,14,9.611108571433215,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.12239274379499834}",25,0,30.06908568323655,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
209,False,"{'a': 0.5, 'e': 0.12116881635704835}",20,10,18.766211972780763,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.11995712819347787}",20,0,9.73855415639675,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
211,False,"{'a': 0.5, 'e': 0.11875755691154309}",30,7,23.30044935108258,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.11756998134242766}",20,8,8.715103527661347,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.11639428152900338}",20,8,1.1792351464270592,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.11523033871371334}",20,10,23.513579995685664,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.11407803532657622}",30,8,21.64758160895117,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.11293725497331045}",30,11,18.67074353622841,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.11180788242357734}",25,6,24.777856969071927,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.11068980359934157}",20,12,14.573899315841608,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.10958290556334815}",20,0,17.87853595844733,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
220,False,"{'a': 0.5, 'e': 0.10848707650771466}",30,14,14.869554605397301,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.10740220574263752}",20,8,11.566689333918283,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.10632818368521114}",20,8,20.10519069290536,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10526490184835903}",20,10,7.712441564744784,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.10421225282987544}",20,7,14.015562822659357,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.10317013030157668}",25,16,15.407134710370254,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.10213842899856092}",25,18,14.684031490095839,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.10111704470857531}",30,21,13.251757942949242,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.10010587426148955}",20,9,-24.059966150079624,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
229,False,"{'a': 0.5, 'e': 0.09910481551887466}",20,13,11.975182281181045,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.0981137673636859}",20,10,20.30992872324675,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.09713262969004906}",25,13,16.071185402122882,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.09616130339314856}",20,15,7.975943675599727,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.09519969035921708}",20,16,4.331206331460848,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.0942476934556249}",20,3,15.870690517546866,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.09330521652106866}",25,9,20.151320805972738,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.09237216435585796}",25,5,23.666648260603935,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.09144844271229938}",25,15,13.704397998462458,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.0905339582851764}",25,11,4.645727124872423,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.08962861870232462}",20,10,15.954884878127622,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.08873233251530138}",25,8,30.515829356233972,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08784500919014836}",20,11,16.106224751061568,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.08696655909824688}",20,15,10.31261050967951,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.0860968935072644}",20,0,34.16688842134663,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
244,False,"{'a': 0.5, 'e': 0.08523592457219176}",25,17,13.906203261442885,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.08438356532646984}",25,10,20.24601848554421,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.08353972967320515}",25,12,23.521017095418166,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.0827043323764731}",20,0,22.66847512291879,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.08187728905270836}",20,16,7.036320113569224,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.08105851616218128}",20,6,24.484549326158746,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.08024793100055946}",20,9,1.7376343202477558,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.07944545169055386}",20,16,9.342104864738555,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.07865099717364833}",20,13,13.805996829802861,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.07786448720191184}",20,5,-23.574714959132297,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
254,False,"{'a': 0.5, 'e': 0.07708584232989273}",25,16,0.9610337218285654,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.0763149839065938}",20,13,13.347643606599739,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.07555183406752786}",20,8,21.260290679404342,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.07479631572685258}",20,12,17.81049691005819,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.07404835256958406}",20,0,31.405570849201982,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.07330786904388821}",20,1,32.08617158331653,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.07257479035344933}",25,13,22.73115711370723,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.07184904244991484}",20,12,15.101951786852878,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.07113055202541568}",20,11,17.741092926545974,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.07041924650516153}",25,15,21.707551101559634,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.06971505404010991}",25,4,23.985687253886056,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.06901790349970881}",20,0,13.140594812969486,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
266,False,"{'a': 0.5, 'e': 0.06832772446471172}",30,17,10.093339373167911,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.0676444472200646}",20,7,22.007496464127797,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.06696800274786396}",20,2,-16.620199115708562,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
